N_Event,N_Event_encoder
AIB Manufacturing,0
AIB Services,1
Balance of,2
Bank Austria,3
Budget Balance,4
Business Climate,5
Business Confidence,6
Construction Output,7
Construction PMI,8
Consumer Confidence,9
Consumer Inflation,10
Core Inflation,11
Current Account,12
Deposit Facility,13
ECB Interest,14
Economic Activity,15
Economic Sentiment,16
Employment Change,17
Exports MoM,18
Factory Orders,19
Full Year,20
GDP Growth,21
GfK Consumer,22
Government Budget,23
Harmonised Inflation,24
Household Consumption,25
IHS Markit,26
Ifo Business,27
Ifo Current,28
Ifo Expectations,29
Import Prices,30
Imports MoM,31
Industrial Orders,32
Industrial Production,33
Industrial Sales,34
Industrial Sentiment,35
Inflation Rate,36
Jobseekers Total,37
Loans to,38
M3 Money,39
Manufacturing Production,40
Marginal Lending,41
Markit Composite,42
Markit Manufacturing,43
Markit Services,44
NEVI Manufacturing,45
New Car,46
PPI MoM,47
PPI YoY,48
Private Consumption,49
Private Non,50
Residential Property,51
Retail Sales,52
Services Sentiment,53
Total Credit,54
Tourist Arrivals,55
Unemployment Benefit,56
Unemployment Change,57
Unemployment Rate,58
Wholesale Prices,59
ZEW Current,60
ZEW Economic,61
